NCTId,BriefTitle,Condition,EligibilityCriteria,Gender,MinimumAge,MaximumAge,text
NCT05754060,Cognitive Processing Slowness as a Marker of Cognitive Impairment in Non-central Nervous System Cancer Patients,"['Breast Cancer', 'Colon Cancer', 'Cognitive Impairment']","Inclusion Criteria:

* Beginning an oncological treatment for breast or colon cancer
* Patients of age ≥ 20 and ≤ 70 years old
* Cancer diagnosis announcement delivered since less than 3 weeks (+/- a week)
* Patient affiliated to French social security

Exclusion Criteria:

* Patient's opposition to the study
* Notion of an abnormal cerebral scan or MRI
* Drug use (alcohol, narcotics…)
* Chronic (≥ 15 days) treatment with corticosteroids \> 1mg/kg/j (prednisone or equivalent)
* Ocular pathology or cognitive disorder impairing comprehension and reading abilities
* Patients under curatorship, guardianship or under the protection of justice",ALL,20 Years,70 Years,"Cognitive Processing Slowness as a Marker of Cognitive Impairment in Non-central Nervous System Cancer Patients ['Breast Cancer', 'Colon Cancer', 'Cognitive Impairment'] Inclusion Criteria:

* Beginning an oncological treatment for breast or colon cancer
* Patients of age ≥ 20 and ≤ 70 years old
* Cancer diagnosis announcement delivered since less than 3 weeks (+/- a week)
* Patient affiliated to French social security

Exclusion Criteria:

* Patient's opposition to the study
* Notion of an abnormal cerebral scan or MRI
* Drug use (alcohol, narcotics…)
* Chronic (≥ 15 days) treatment with corticosteroids \> 1mg/kg/j (prednisone or equivalent)
* Ocular pathology or cognitive disorder impairing comprehension and reading abilities
* Patients under curatorship, guardianship or under the protection of justice"
NCT00068341,Docetaxel and Carboplatin With or Without Trastuzumab Before Surgery in Treating Women With Locally Advanced Breast Cancer,['Breast Cancer'],"Inclusion Criteria:

* Confirmed infiltrating adenocarcinoma of the breast
* Primary breast cancer \> 5cm, or skin/chest wall involvement, any N, without evidence of metastasis.
* No prior radiation to the involved breast
* ECOG (Electrocochleography) performance status 0-2
* Age 18 years to 80 years
* Absolute Neutrophil count \> 1500 cell/μl, platelet count \> 100000 cells/μl and hemoglobin \> 9 g/dl
* All liver function tests \< upper limit of normal
* Serum creatinine \< 2.0 mg/dl
* Normal left ventricular ejection fraction (LVEF) as determined by MUGA (Multiple Gated Acquisition) scan or echocardiogram
* HER-2/neu status is determined by a FISH (Fluorescence in situ hybridization) test. \[FISH (+) is HER-2/neu (+)\]
* If female of childbearing potential, pregnancy test is negative
* If premenopausal and not surgically sterilized, the patient agrees to use effective birth control method for the duration of the study
* Informed consent has been obtained

Exclusion Criteria:

* Non-confirmed infiltrating adenocarcinoma breast cancer
* Evidence of metastasis
* Previous chemotherapy using the drugs proposed in this study, specifically Herceptin®, Taxotere®, and/or Carboplatin
* Prior radiation to the involved breast
* Recent breast cancer drug therapy within last 5 years of any form
* History of allergy to polysorbate or castor oil
* Ongoing active infection
* Concurrent life-limiting disease with a life expectancy of less than one year
* Past or current history of other malignancy within the past 5 years which could affect the diagnosis or assessment of breast cancer, except for curatively treated non-melanoma skin cancer and/or in situ carcinoma of the cervix
* Pregnancy, nursing, fertile women who do not use birth control device
* Inability to give informed consent
* Patients with pre-existing peripheral neuropathy \> grade 2",FEMALE,18 Years,80 Years,"Docetaxel and Carboplatin With or Without Trastuzumab Before Surgery in Treating Women With Locally Advanced Breast Cancer ['Breast Cancer'] Inclusion Criteria:

* Confirmed infiltrating adenocarcinoma of the breast
* Primary breast cancer \> 5cm, or skin/chest wall involvement, any N, without evidence of metastasis.
* No prior radiation to the involved breast
* ECOG (Electrocochleography) performance status 0-2
* Age 18 years to 80 years
* Absolute Neutrophil count \> 1500 cell/μl, platelet count \> 100000 cells/μl and hemoglobin \> 9 g/dl
* All liver function tests \< upper limit of normal
* Serum creatinine \< 2.0 mg/dl
* Normal left ventricular ejection fraction (LVEF) as determined by MUGA (Multiple Gated Acquisition) scan or echocardiogram
* HER-2/neu status is determined by a FISH (Fluorescence in situ hybridization) test. \[FISH (+) is HER-2/neu (+)\]
* If female of childbearing potential, pregnancy test is negative
* If premenopausal and not surgically sterilized, the patient agrees to use effective birth control method for the duration of the study
* Informed consent has been obtained

Exclusion Criteria:

* Non-confirmed infiltrating adenocarcinoma breast cancer
* Evidence of metastasis
* Previous chemotherapy using the drugs proposed in this study, specifically Herceptin®, Taxotere®, and/or Carboplatin
* Prior radiation to the involved breast
* Recent breast cancer drug therapy within last 5 years of any form
* History of allergy to polysorbate or castor oil
* Ongoing active infection
* Concurrent life-limiting disease with a life expectancy of less than one year
* Past or current history of other malignancy within the past 5 years which could affect the diagnosis or assessment of breast cancer, except for curatively treated non-melanoma skin cancer and/or in situ carcinoma of the cervix
* Pregnancy, nursing, fertile women who do not use birth control device
* Inability to give informed consent
* Patients with pre-existing peripheral neuropathy \> grade 2"
NCT03852953,Under- and Overdiagnosis in BreastScreen Norway,['Breast Cancer'],"Study 1

Inclusion Criteria:

* Breast cancer diagnosed within BreastScreen Norway using digital mammography
* Prior screening images available for review

Study 2

Inclusion Criteria:

* Women born between 1927 and 1934 (inclusive)
* Legal resident in Norway at any time between 1996 and 2003 (inclusive)

Study 3

Inclusion Criteria:

* Women residing in Norway, aged 50-69 (inclusive)
* Practising family doctors in Norway, aged 25-75 (inclusive)
* Provide informed consent",ALL,25 Years,75 Years,"Under- and Overdiagnosis in BreastScreen Norway ['Breast Cancer'] Study 1

Inclusion Criteria:

* Breast cancer diagnosed within BreastScreen Norway using digital mammography
* Prior screening images available for review

Study 2

Inclusion Criteria:

* Women born between 1927 and 1934 (inclusive)
* Legal resident in Norway at any time between 1996 and 2003 (inclusive)

Study 3

Inclusion Criteria:

* Women residing in Norway, aged 50-69 (inclusive)
* Practising family doctors in Norway, aged 25-75 (inclusive)
* Provide informed consent"
NCT02462681,Ketamine as Adjunctive Analgesic With Bupivacaine in Paravertebral Analgesia for Breast Cancer Surgery,"['Acute Pain', 'Chronic Pain']","Inclusion Criteria:

* all patients scheduled for elective modified radical mastectomy with axillary dissection will be enrolled in the study

Exclusion Criteria:

* patients with a known allergy to the study drugs
* patients with bleeding diathesis
* patients with infection at the site of injection
* patients with central neuropathy
* patients with liver impairment
* patients with renal impairment
* drugs or alcohol abusers
* patients with psychiatric illnesses",FEMALE,25 Years,70 Years,"Ketamine as Adjunctive Analgesic With Bupivacaine in Paravertebral Analgesia for Breast Cancer Surgery ['Acute Pain', 'Chronic Pain'] Inclusion Criteria:

* all patients scheduled for elective modified radical mastectomy with axillary dissection will be enrolled in the study

Exclusion Criteria:

* patients with a known allergy to the study drugs
* patients with bleeding diathesis
* patients with infection at the site of injection
* patients with central neuropathy
* patients with liver impairment
* patients with renal impairment
* drugs or alcohol abusers
* patients with psychiatric illnesses"
NCT07283107,Trial to Evaluate the Impact of Various Behavioural Interventions to Increase Mammography Uptake Among Singaporean Women,['This Study Evaluates Interventions to Increase Surveillance Mammography Uptake for Early Breast Cancer Detection Among Singaporean Women'],"Inclusion Criteria:

* Singaporean citizen
* Age 50-69
* Registered as a patient at the National University Hospital
* Registered and active user of NUHS App
* Signed up with Healthier SG with a primary care provider within the NUHS Primary Care Network
* For ""never-screener"" cohort: Must have never undergone mammogram screening
* For ""repeat-screener"" cohort : Must have completed screening in the last 18-24 months but have not booked their next appointment yet

Exclusion Criteria:

* Diagnosis of breast cancer in EPIC
* Mammogram done in the past 24 months in EPIC",FEMALE,50 Years,69 Years,"Trial to Evaluate the Impact of Various Behavioural Interventions to Increase Mammography Uptake Among Singaporean Women ['This Study Evaluates Interventions to Increase Surveillance Mammography Uptake for Early Breast Cancer Detection Among Singaporean Women'] Inclusion Criteria:

* Singaporean citizen
* Age 50-69
* Registered as a patient at the National University Hospital
* Registered and active user of NUHS App
* Signed up with Healthier SG with a primary care provider within the NUHS Primary Care Network
* For ""never-screener"" cohort: Must have never undergone mammogram screening
* For ""repeat-screener"" cohort : Must have completed screening in the last 18-24 months but have not booked their next appointment yet

Exclusion Criteria:

* Diagnosis of breast cancer in EPIC
* Mammogram done in the past 24 months in EPIC"
NCT02690766,Translating Healthy Lifestyle Interventions for Cancer Survivors,"['Diabetes Mellitus, Non-Insulin-Dependent', 'Breast Cancer', 'Endometrial Cancer']","Inclusion Criteria:

* African American women, ages 30
* No evidence of pregnancy, as evidenced by negative urine pregnancy test.
* Diagnosed with type 2 diabetes by their provider
* Diagnosed with Stage I-III breast or endometrial cancer
* Completed treatment for breast or endometrial cancer at least 4 months and no more 5 years ago English-speaking
* Agree to participate in all aspects of the semi-structured interview (Aim 1)
* Agree to participate in all aspects of the feasibility study, including group sessions (Aim 2)
* Access to the internet via phone or computer
* Access to a working phone for personal use

Exclusion Criteria:

* Non-English speaking
* Recent epilepsy, cardiac event or stroke in last 6 months,special nutritional needs (e.g. current evidence of malignancy; HIV)
* History of epilepsy, cardiac event or stroke within the last year
* Known diagnosis of HIV
* Known new malignancy
* Less than 4 months or more than 2 years post treatment of Stage I-III breast or endometrial cancer.
* No diagnosis of type 2 diabetes
* No self-report of African American race/ethnicity
* No access to a phone for personal use
* No access to the internet via computer or mobile phone",FEMALE,30 Years,99 Years,"Translating Healthy Lifestyle Interventions for Cancer Survivors ['Diabetes Mellitus, Non-Insulin-Dependent', 'Breast Cancer', 'Endometrial Cancer'] Inclusion Criteria:

* African American women, ages 30
* No evidence of pregnancy, as evidenced by negative urine pregnancy test.
* Diagnosed with type 2 diabetes by their provider
* Diagnosed with Stage I-III breast or endometrial cancer
* Completed treatment for breast or endometrial cancer at least 4 months and no more 5 years ago English-speaking
* Agree to participate in all aspects of the semi-structured interview (Aim 1)
* Agree to participate in all aspects of the feasibility study, including group sessions (Aim 2)
* Access to the internet via phone or computer
* Access to a working phone for personal use

Exclusion Criteria:

* Non-English speaking
* Recent epilepsy, cardiac event or stroke in last 6 months,special nutritional needs (e.g. current evidence of malignancy; HIV)
* History of epilepsy, cardiac event or stroke within the last year
* Known diagnosis of HIV
* Known new malignancy
* Less than 4 months or more than 2 years post treatment of Stage I-III breast or endometrial cancer.
* No diagnosis of type 2 diabetes
* No self-report of African American race/ethnicity
* No access to a phone for personal use
* No access to the internet via computer or mobile phone"
NCT05447702,Study of Camrelizumab Plus Apatinib and Chemotherapy as Neoadjuvant Therapy in Participants With Triple Negative Breast Cancer (TNBC),['Triple Negative Breast Cancer'],"Inclusion Criteria:

* Newly diagnosed breast cancer.
* 18-75 Years, female.
* Early or locally advanced, histologically documented TNBC (absence of HER2, ER, and PR expression).
* Tumor stage: II-III.
* ECOG Performance Status of 0-1.
* life expectancy is not less than 3 months.
* at least one measurable lesion according to RECIST 1.1.
* Adequate hematologic and organ function.
* Must be willing to use an adequate method of contraception for the course of the study.

Exclusion Criteria:

* Stage Ⅳ (metastatic) breast cancer or bilateral breast cancer.
* Inflammatory breast cancer.
* Has received prior any anti-tumor therapy within the past 12 months prior to signing informed consent, including chemotherapy, targeted therapy, radiation therapy, immunotherapy, biotherapy and TAE.
* Has received prior therapy with an anti-programmed cell death protein 1 (anti-PD-1), anti-programmed death-ligand 1 (anti-PD-L1), or anti-PD-L2 agent or with an agent directed to another co-inhibitory T-cell receptor (e.g., cytotoxic T-lymphocyte-associated antigen-4 \[CTLA-4\], and/or anti-VEGFR agent.
* Has a history of invasive malignancy ≤5 years prior to signing informed consent except for adequately treated basal cell or squamous cell skin cancer or in situ cervical cancer.
* Major surgical procedure within 4 weeks prior to initiation of study treatment.
* Has a history of autoimmune disease.
* Has a history of hypertension that not well controlled by antihypertensive treatment
* Has a history of myocardial infarction, severe/unstable angina pectoris, NYHA Class 2 or above cardiac insufficiency, clinically significant supraventricular or ventricular arrhythmia, or symptomatic congestive heart failure within the last 6 months.
* Has a history of (non-infectious) pneumonitis, interstitial lung disease or uncontrollable systematicness diseases.
* Administration of a live attenuated vaccine within 28 days prior to initiation of study treatment or anticipation of need for such a vaccine during the study.
* Has a known history of Human Immunodeficiency Virus (HIV).
* Has known active Hepatitis B, Hepatitis C or Autoimmune hepatitis.
* Severe infections within 4 weeks prior to initiation of study treatment, including but not limited to hospitalization for complications of infection, bacteremia, or severe pneumonia.
* Has active infection (CTCAE≥2) needed the treatment of antibiotic within 2 weeks prior to initiation of study treatment.
* Has evidence of active tuberculosis within 1 year prior to initiation of study treatment.
* Prior allogeneic stem cell or solid organ transplantation.
* Peripheral neuropathy grade ≥2.
* Has clinically significant intestinal obstruction.
* Arterial/venous thrombosis events that occurred within 3 months before enrollment, such as cerebrovascular accidents, deep vein thrombosis, or pulmonary embolism.
* Has hemoptysis symptoms within 2 months before enrollment and the maximum daily hemoptysis ≥ 2.5 ml.
* Clinically significant bleeding symptoms or clear bleeding tendency occurred within 3 months before enrollment.
* Has known genetic or acquired bleeding or thrombotic tendency.
* Abnormal coagulation (INR\>1.5 or APTT\>1.5 x ULN) with bleeding tendency, receiving thrombolysis or anticoagulation therapy, or requiring long-term antiplatelet therapy.
* Has a known hypersensitivity to the components of the study treatment or other hypersensitivity reactions to chimeric or humanized antibodies or fusion proteins.
* Female patients during pregnancy and lactation, fertile women with positive baseline pregnancy tests or women of childbearing age who are unwilling to take effective contraceptive measures throughout the trial.
* History of neurological or psychiatric disorders, including epilepsy or dementia.
* Any other situation evaluated by researchers.",FEMALE,18 Years,75 Years,"Study of Camrelizumab Plus Apatinib and Chemotherapy as Neoadjuvant Therapy in Participants With Triple Negative Breast Cancer (TNBC) ['Triple Negative Breast Cancer'] Inclusion Criteria:

* Newly diagnosed breast cancer.
* 18-75 Years, female.
* Early or locally advanced, histologically documented TNBC (absence of HER2, ER, and PR expression).
* Tumor stage: II-III.
* ECOG Performance Status of 0-1.
* life expectancy is not less than 3 months.
* at least one measurable lesion according to RECIST 1.1.
* Adequate hematologic and organ function.
* Must be willing to use an adequate method of contraception for the course of the study.

Exclusion Criteria:

* Stage Ⅳ (metastatic) breast cancer or bilateral breast cancer.
* Inflammatory breast cancer.
* Has received prior any anti-tumor therapy within the past 12 months prior to signing informed consent, including chemotherapy, targeted therapy, radiation therapy, immunotherapy, biotherapy and TAE.
* Has received prior therapy with an anti-programmed cell death protein 1 (anti-PD-1), anti-programmed death-ligand 1 (anti-PD-L1), or anti-PD-L2 agent or with an agent directed to another co-inhibitory T-cell receptor (e.g., cytotoxic T-lymphocyte-associated antigen-4 \[CTLA-4\], and/or anti-VEGFR agent.
* Has a history of invasive malignancy ≤5 years prior to signing informed consent except for adequately treated basal cell or squamous cell skin cancer or in situ cervical cancer.
* Major surgical procedure within 4 weeks prior to initiation of study treatment.
* Has a history of autoimmune disease.
* Has a history of hypertension that not well controlled by antihypertensive treatment
* Has a history of myocardial infarction, severe/unstable angina pectoris, NYHA Class 2 or above cardiac insufficiency, clinically significant supraventricular or ventricular arrhythmia, or symptomatic congestive heart failure within the last 6 months.
* Has a history of (non-infectious) pneumonitis, interstitial lung disease or uncontrollable systematicness diseases.
* Administration of a live attenuated vaccine within 28 days prior to initiation of study treatment or anticipation of need for such a vaccine during the study.
* Has a known history of Human Immunodeficiency Virus (HIV).
* Has known active Hepatitis B, Hepatitis C or Autoimmune hepatitis.
* Severe infections within 4 weeks prior to initiation of study treatment, including but not limited to hospitalization for complications of infection, bacteremia, or severe pneumonia.
* Has active infection (CTCAE≥2) needed the treatment of antibiotic within 2 weeks prior to initiation of study treatment.
* Has evidence of active tuberculosis within 1 year prior to initiation of study treatment.
* Prior allogeneic stem cell or solid organ transplantation.
* Peripheral neuropathy grade ≥2.
* Has clinically significant intestinal obstruction.
* Arterial/venous thrombosis events that occurred within 3 months before enrollment, such as cerebrovascular accidents, deep vein thrombosis, or pulmonary embolism.
* Has hemoptysis symptoms within 2 months before enrollment and the maximum daily hemoptysis ≥ 2.5 ml.
* Clinically significant bleeding symptoms or clear bleeding tendency occurred within 3 months before enrollment.
* Has known genetic or acquired bleeding or thrombotic tendency.
* Abnormal coagulation (INR\>1.5 or APTT\>1.5 x ULN) with bleeding tendency, receiving thrombolysis or anticoagulation therapy, or requiring long-term antiplatelet therapy.
* Has a known hypersensitivity to the components of the study treatment or other hypersensitivity reactions to chimeric or humanized antibodies or fusion proteins.
* Female patients during pregnancy and lactation, fertile women with positive baseline pregnancy tests or women of childbearing age who are unwilling to take effective contraceptive measures throughout the trial.
* History of neurological or psychiatric disorders, including epilepsy or dementia.
* Any other situation evaluated by researchers."
NCT02297230,Locally Advanced Breast Cancer: Individualized Treatment Based On Tumor Molecular Characteristics,['Breast Cancer'],"Inclusion Criteria:

* Biopsy proven locally advanced breast cancer: STAGE IIB (T must be \> 3.0 cm, N0), IIIA (T0N2, T1N2, T2N2, T3N1), IIIB (T4N0-2).
* HER-2/neu positive ( DAKO 3+ by Immunohistochemistry or FISH positive if Dako 2+)
* Metastatic breast cancer: limited to the subset of patients with intact breast, locally advanced tumor and involved ipsilateral supraclavicular nodes.
* Measurable disease required according to the RECIST criteria (Response Evaluation Criteria in Solid Tumors)
* Adequate laboratory values:
* Hgb \> 10
* ANC(Absolute Neutrophil Count) \> 1500
* Platelets \> 150,000
* Cr \< 1.5
* Liver function \< 3 X normal.
* Patient \> 18 years of age.
* Medically and psychologically able to comply with all study requirements.
* ECOG (Eastern cooperative Oncology group) performance score 0-1.
* Signed informed consent.

Exclusion Criteria:

* Stage 0, Stage I, Stage IIA.
* Previous XRT(Radiation therapy) or chemotherapy.
* Presence of distant metastases documented clinically or radiographically with the exception of ipsilateral supraclavicular nodes.
* Inflammatory breast cancer.
* Prior unanticipated severe reaction to fluoropyrimidine therapy or known hypersensitivity to 5-fluorouracil.
* Exclude pregnant or lactating woman.
* Woman of childbearing potential with either a positive or no pregnancy test at baseline.
* Woman of childbearing potential not using a reliable and appropriate contraceptive method.
* (Postmenopausal women must have been amenorrheic for at least 12 months to be considered of non-childbearing potential).
* Patient will agree to continue contraception for 30 days from the date of the last study drug administration.
* Serious concurrent infections.
* Clinically significant cardiac disease not well controlled with medication (e.g. congestive heart failure, symptomatic coronary artery disease and cardiac arrhythmias ) or myocardial infarction within the last 12 months.
* Patients who have had an organ allograft.
* Patients with severe renal impairment (creatinine clearance below 30 mL/min \[Cockcroft and Gault43\]). In patients with moderate renal impairment (creatinine clearance 30-50 mL/min \[Cockcroft and Gault43\]) at baseline, a dose reduction to 75% of the XELODA starting dose is recommended. In patients with mild renal impairment (creatinine clearance 51-80 mL/min) no adjustment in starting dose is recommended.
* In phase I studies, those with any abnormal renal function, since toxicity will likely be affected by the presence of any significant renal dysfunction.
* Cockcroft and Gault Equation:
* (140 - age \[yrs\]) (body wt \[kg\])
* Creatinine clearance for males = --------------
* (72) (serum creatinine \[mg/dL\])
* Creatinine clearance for females = 0.85 x male value",FEMALE,18 Years,90 Years,"Locally Advanced Breast Cancer: Individualized Treatment Based On Tumor Molecular Characteristics ['Breast Cancer'] Inclusion Criteria:

* Biopsy proven locally advanced breast cancer: STAGE IIB (T must be \> 3.0 cm, N0), IIIA (T0N2, T1N2, T2N2, T3N1), IIIB (T4N0-2).
* HER-2/neu positive ( DAKO 3+ by Immunohistochemistry or FISH positive if Dako 2+)
* Metastatic breast cancer: limited to the subset of patients with intact breast, locally advanced tumor and involved ipsilateral supraclavicular nodes.
* Measurable disease required according to the RECIST criteria (Response Evaluation Criteria in Solid Tumors)
* Adequate laboratory values:
* Hgb \> 10
* ANC(Absolute Neutrophil Count) \> 1500
* Platelets \> 150,000
* Cr \< 1.5
* Liver function \< 3 X normal.
* Patient \> 18 years of age.
* Medically and psychologically able to comply with all study requirements.
* ECOG (Eastern cooperative Oncology group) performance score 0-1.
* Signed informed consent.

Exclusion Criteria:

* Stage 0, Stage I, Stage IIA.
* Previous XRT(Radiation therapy) or chemotherapy.
* Presence of distant metastases documented clinically or radiographically with the exception of ipsilateral supraclavicular nodes.
* Inflammatory breast cancer.
* Prior unanticipated severe reaction to fluoropyrimidine therapy or known hypersensitivity to 5-fluorouracil.
* Exclude pregnant or lactating woman.
* Woman of childbearing potential with either a positive or no pregnancy test at baseline.
* Woman of childbearing potential not using a reliable and appropriate contraceptive method.
* (Postmenopausal women must have been amenorrheic for at least 12 months to be considered of non-childbearing potential).
* Patient will agree to continue contraception for 30 days from the date of the last study drug administration.
* Serious concurrent infections.
* Clinically significant cardiac disease not well controlled with medication (e.g. congestive heart failure, symptomatic coronary artery disease and cardiac arrhythmias ) or myocardial infarction within the last 12 months.
* Patients who have had an organ allograft.
* Patients with severe renal impairment (creatinine clearance below 30 mL/min \[Cockcroft and Gault43\]). In patients with moderate renal impairment (creatinine clearance 30-50 mL/min \[Cockcroft and Gault43\]) at baseline, a dose reduction to 75% of the XELODA starting dose is recommended. In patients with mild renal impairment (creatinine clearance 51-80 mL/min) no adjustment in starting dose is recommended.
* In phase I studies, those with any abnormal renal function, since toxicity will likely be affected by the presence of any significant renal dysfunction.
* Cockcroft and Gault Equation:
* (140 - age \[yrs\]) (body wt \[kg\])
* Creatinine clearance for males = --------------
* (72) (serum creatinine \[mg/dL\])
* Creatinine clearance for females = 0.85 x male value"
NCT02149524,A Study to Compare the Effect of SB3 and Herceptin® in Women With HER2 Positive Breast Cancer,['HER2 Positive Early or Locally Advanced Breast Cancer'],"Inclusion Criteria:

* Female aged 18-65 years
* Eastern Cooperative Oncology Group (ECOG) performance status of 0-1
* Non-metastatic, unilateral newly diagnosed primary breast cancer of clinical stage II to III including inflammatory breast cancer with:

  1. tumour size ≥ 2 cm
  2. histologically confirmed primary invasive carcinoma of the breast
  3. HER2-positivity confirmed by a central laboratory or an accredited local laboratory and defined as immunohistochemistry (IHC) 3+ or fluorescence in situ hybridisation (FISH)+
* Known hormone receptor (oestrogen receptor and progesterone receptor) status
* Baseline left ventricular ejection fraction (LVEF) ≥ 55% measured by echocardiography or multiple gated acquisition (MUGA) scan
* Subjects must be able to provide informed consent, which must be obtained prior to any study related procedures

Exclusion Criteria:

* Metastatic (stage IV) or bilateral or multifocal/multicentric breast cancer
* History of any prior invasive breast carcinoma, except for subjects with a past history of ductal carcinoma in situ (DCIS) and/or lobular carcinoma in situ (LCIS) treated with surgery only
* Past or current history of malignant neoplasms within 5 years prior to Randomisation, except for curatively treated carcinoma in situ of uterine cervix, basal cell carcinoma of the skin or squamous cell carcinoma of the skin (malignant neoplasms occurring more than 5 years prior to Randomisation are permitted if curatively treated with surgery only)
* Previous history of radiation therapy, immunotherapy, chemotherapy or biotherapy (including prior HER2 directed therapy) Major surgery within 4 weeks prior to Randomisation and minor surgery within 2 weeks prior to Randomisation (major surgery is defined as surgery which requires general anaesthesia)
* Serious cardiac illness that would preclude the use of trastuzumab such as:

  1. history of documented congestive heart failure (CHF) (New York Heart Association, NYHA, class II or greater heart disease)
  2. LVEF \< 55% by echocardiography or MUGA scan
  3. angina pectoris requiring anti-anginal medication
  4. evidence of transmural infarction on electrocardiogram (ECG)
  5. uncontrolled hypertension (systolic \> 180 mmHg and/or diastolic \> 100 mmHg)
  6. clinically significant valvular heart disease
  7. high risk uncontrolled arrhythmias
* Serious pulmonary illness enough to cause dyspnoea at rest or requiring supplementary oxygen therapy
* Known history of hepatitis B virus (HBV), hepatitis C virus (HCV) or human immunodeficiency virus (HIV) infection
* Other concurrent serious illnesses that may interfere with planned therapy including severe cardiovascular, pulmonary, metabolic or infectious conditions
* Known hypersensitivity to the investigational product (IPs), non-IPs or any of the ingredients or excipients of the IPs or non-IPs
* Known hypersensitivity to murine proteins
* Known history of dihydropyrimidine dehydrogenase (DPD) deficiency
* Pre-existing peripheral sensory or motor neuropathy ≥ grade 2, defined by National Cancer Institute-Common Terminology Criteria for Adverse Events (NCI-CTCAE) v4.0
* Pregnant or lactating women. A pregnancy test result is required for all women of childbearing potential including women who had menopause onset within 2 years prior to Randomisation. Women of childbearing potential must agree to use contraceptive methods (see section 7.4.2) during the study and 6 months after the last dose of IP
* Concurrent hormonal therapy including birth control pills, ovarian hormone replacement for menopause, selective oestrogen receptor modulator (SERM) either for osteoporosis or breast cancer prevention
* Subjects unwilling to follow the study requirements",FEMALE,18 Years,65 Years,"A Study to Compare the Effect of SB3 and Herceptin® in Women With HER2 Positive Breast Cancer ['HER2 Positive Early or Locally Advanced Breast Cancer'] Inclusion Criteria:

* Female aged 18-65 years
* Eastern Cooperative Oncology Group (ECOG) performance status of 0-1
* Non-metastatic, unilateral newly diagnosed primary breast cancer of clinical stage II to III including inflammatory breast cancer with:

  1. tumour size ≥ 2 cm
  2. histologically confirmed primary invasive carcinoma of the breast
  3. HER2-positivity confirmed by a central laboratory or an accredited local laboratory and defined as immunohistochemistry (IHC) 3+ or fluorescence in situ hybridisation (FISH)+
* Known hormone receptor (oestrogen receptor and progesterone receptor) status
* Baseline left ventricular ejection fraction (LVEF) ≥ 55% measured by echocardiography or multiple gated acquisition (MUGA) scan
* Subjects must be able to provide informed consent, which must be obtained prior to any study related procedures

Exclusion Criteria:

* Metastatic (stage IV) or bilateral or multifocal/multicentric breast cancer
* History of any prior invasive breast carcinoma, except for subjects with a past history of ductal carcinoma in situ (DCIS) and/or lobular carcinoma in situ (LCIS) treated with surgery only
* Past or current history of malignant neoplasms within 5 years prior to Randomisation, except for curatively treated carcinoma in situ of uterine cervix, basal cell carcinoma of the skin or squamous cell carcinoma of the skin (malignant neoplasms occurring more than 5 years prior to Randomisation are permitted if curatively treated with surgery only)
* Previous history of radiation therapy, immunotherapy, chemotherapy or biotherapy (including prior HER2 directed therapy) Major surgery within 4 weeks prior to Randomisation and minor surgery within 2 weeks prior to Randomisation (major surgery is defined as surgery which requires general anaesthesia)
* Serious cardiac illness that would preclude the use of trastuzumab such as:

  1. history of documented congestive heart failure (CHF) (New York Heart Association, NYHA, class II or greater heart disease)
  2. LVEF \< 55% by echocardiography or MUGA scan
  3. angina pectoris requiring anti-anginal medication
  4. evidence of transmural infarction on electrocardiogram (ECG)
  5. uncontrolled hypertension (systolic \> 180 mmHg and/or diastolic \> 100 mmHg)
  6. clinically significant valvular heart disease
  7. high risk uncontrolled arrhythmias
* Serious pulmonary illness enough to cause dyspnoea at rest or requiring supplementary oxygen therapy
* Known history of hepatitis B virus (HBV), hepatitis C virus (HCV) or human immunodeficiency virus (HIV) infection
* Other concurrent serious illnesses that may interfere with planned therapy including severe cardiovascular, pulmonary, metabolic or infectious conditions
* Known hypersensitivity to the investigational product (IPs), non-IPs or any of the ingredients or excipients of the IPs or non-IPs
* Known hypersensitivity to murine proteins
* Known history of dihydropyrimidine dehydrogenase (DPD) deficiency
* Pre-existing peripheral sensory or motor neuropathy ≥ grade 2, defined by National Cancer Institute-Common Terminology Criteria for Adverse Events (NCI-CTCAE) v4.0
* Pregnant or lactating women. A pregnancy test result is required for all women of childbearing potential including women who had menopause onset within 2 years prior to Randomisation. Women of childbearing potential must agree to use contraceptive methods (see section 7.4.2) during the study and 6 months after the last dose of IP
* Concurrent hormonal therapy including birth control pills, ovarian hormone replacement for menopause, selective oestrogen receptor modulator (SERM) either for osteoporosis or breast cancer prevention
* Subjects unwilling to follow the study requirements"
